"Plot Title: B-003"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20312761, SEN S/N: 20312761)","Coupler Detached (LGR S/N: 20312761)","Coupler Attached (LGR S/N: 20312761)","Host Connected (LGR S/N: 20312761)","Stopped (LGR S/N: 20312761)","End Of File (LGR S/N: 20312761)"
1,02/28/23 10:30:00 AM,0.522,Logged,,,,
2,02/28/23 10:35:00 AM,0.135,,,,,
3,02/28/23 10:40:00 AM,0.024,,,,,
4,02/28/23 10:45:00 AM,-0.004,,,,,
5,02/28/23 10:50:00 AM,-0.004,,,,,
6,02/28/23 10:55:00 AM,-0.004,,,,,
7,02/28/23 11:00:00 AM,-0.004,,,,,
8,02/28/23 11:05:00 AM,-0.004,,,,,
9,02/28/23 11:10:00 AM,-0.004,,,,,
10,02/28/23 11:15:00 AM,-0.004,,,,,
11,02/28/23 11:20:00 AM,-0.004,,,,,
12,02/28/23 11:25:00 AM,-0.004,,,,,
13,02/28/23 11:30:00 AM,-0.004,,,,,
14,02/28/23 11:35:00 AM,-0.004,,,,,
15,02/28/23 11:40:00 AM,-0.004,,,,,
16,02/28/23 11:45:00 AM,-0.004,,,,,
17,02/28/23 11:50:00 AM,-0.004,,,,,
18,02/28/23 11:55:00 AM,-0.004,,,,,
19,02/28/23 12:00:00 PM,-0.004,,,,,
20,02/28/23 12:05:00 PM,-0.004,,,,,
21,02/28/23 12:10:00 PM,-0.004,,,,,
22,02/28/23 12:15:00 PM,-0.032,,,,,
23,02/28/23 12:20:00 PM,-0.004,,,,,
24,02/28/23 12:25:00 PM,-0.032,,,,,
25,02/28/23 12:30:00 PM,-0.004,,,,,
26,02/28/23 12:35:00 PM,-0.032,,,,,
27,02/28/23 12:40:00 PM,-0.004,,,,,
28,02/28/23 12:45:00 PM,-0.004,,,,,
29,02/28/23 12:50:00 PM,-0.004,,,,,
30,02/28/23 12:55:00 PM,-0.004,,,,,
31,02/28/23 01:00:00 PM,-0.032,,,,,
32,02/28/23 01:05:00 PM,-0.032,,,,,
33,02/28/23 01:10:00 PM,-0.004,,,,,
34,02/28/23 01:15:00 PM,-0.004,,,,,
35,02/28/23 01:20:00 PM,-0.032,,,,,
36,02/28/23 01:25:00 PM,-0.004,,,,,
37,02/28/23 01:30:00 PM,-0.032,,,,,
38,02/28/23 01:35:00 PM,-0.032,,,,,
39,02/28/23 01:40:00 PM,-0.032,,,,,
40,02/28/23 01:45:00 PM,-0.004,,,,,
41,02/28/23 01:50:00 PM,-0.004,,,,,
42,02/28/23 01:55:00 PM,-0.004,,,,,
43,02/28/23 02:00:00 PM,-0.004,,,,,
44,02/28/23 02:05:00 PM,-0.004,,,,,
45,02/28/23 02:10:00 PM,-0.032,,,,,
46,02/28/23 02:15:00 PM,-0.004,,,,,
47,02/28/23 02:20:00 PM,-0.004,,,,,
48,02/28/23 02:25:00 PM,-0.004,,,,,
49,02/28/23 02:30:00 PM,-0.004,,,,,
50,02/28/23 02:35:00 PM,-0.032,,,,,
51,02/28/23 02:40:00 PM,-0.032,,,,,
52,02/28/23 02:45:00 PM,-0.032,,,,,
53,02/28/23 02:50:00 PM,-0.004,,,,,
54,02/28/23 02:55:00 PM,-0.004,,,,,
55,02/28/23 03:00:00 PM,-0.004,,,,,
56,02/28/23 03:05:00 PM,-0.004,,,,,
57,02/28/23 03:10:00 PM,-0.032,,,,,
58,02/28/23 03:15:00 PM,-0.032,,,,,
59,02/28/23 03:20:00 PM,-0.004,,,,,
60,02/28/23 03:25:00 PM,-0.032,,,,,
61,02/28/23 03:30:00 PM,-0.032,,,,,
62,02/28/23 03:35:00 PM,-0.004,,,,,
63,02/28/23 03:40:00 PM,-0.032,,,,,
64,02/28/23 03:45:00 PM,-0.032,,,,,
65,02/28/23 03:50:00 PM,-0.032,,,,,
66,02/28/23 03:55:00 PM,-0.032,,,,,
67,02/28/23 04:00:00 PM,-0.032,,,,,
68,02/28/23 04:05:00 PM,-0.004,,,,,
69,02/28/23 04:10:00 PM,-0.032,,,,,
70,02/28/23 04:15:00 PM,-0.032,,,,,
71,02/28/23 04:20:00 PM,-0.032,,,,,
72,02/28/23 04:25:00 PM,-0.032,,,,,
73,02/28/23 04:30:00 PM,-0.032,,,,,
74,02/28/23 04:35:00 PM,-0.004,,,,,
75,02/28/23 04:40:00 PM,-0.032,,,,,
76,02/28/23 04:45:00 PM,-0.004,,,,,
77,02/28/23 04:50:00 PM,-0.004,,,,,
78,02/28/23 04:55:00 PM,-0.004,,,,,
79,02/28/23 05:00:00 PM,-0.004,,,,,
80,02/28/23 05:05:00 PM,5.668,,,,,
81,02/28/23 05:10:00 PM,9.163,,,,,
82,02/28/23 05:15:00 PM,11.540,,,,,
83,02/28/23 05:20:00 PM,13.377,,,,,
84,02/28/23 05:25:00 PM,14.936,,,,,
85,02/28/23 05:30:00 PM,15.986,,,,,
86,02/28/23 05:35:00 PM,16.582,,,,,
87,02/28/23 05:37:50 PM,,,Logged,Logged,,
88,02/28/23 05:37:54 PM,,,,,Logged,Logged
