"Plot Title: M-06"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20679352, SEN S/N: 20679352)","Coupler Attached (LGR S/N: 20679352)","Host Connected (LGR S/N: 20679352)","Stopped (LGR S/N: 20679352)","End Of File (LGR S/N: 20679352)"
1,02/14/23 10:00:00 AM,23.966,,,,
2,02/14/23 10:10:00 AM,24.255,,,,
3,02/14/23 10:20:00 AM,24.545,,,,
4,02/14/23 10:30:00 AM,24.738,,,,
5,02/14/23 10:40:00 AM,25.028,,,,
6,02/14/23 10:50:00 AM,24.158,,,,
7,02/14/23 11:00:00 AM,3.998,,,,
8,02/14/23 11:10:00 AM,0.232,,,,
9,02/14/23 11:20:00 AM,0.121,,,,
10,02/14/23 11:30:00 AM,0.121,,,,
11,02/14/23 11:40:00 AM,0.232,,,,
12,02/14/23 11:50:00 AM,0.232,,,,
13,02/14/23 12:00:00 PM,0.232,,,,
14,02/14/23 12:10:00 PM,0.232,,,,
15,02/14/23 12:20:00 PM,0.232,,,,
16,02/14/23 12:30:00 PM,0.343,,,,
17,02/14/23 12:40:00 PM,0.343,,,,
18,02/14/23 12:50:00 PM,0.343,,,,
19,02/14/23 01:00:00 PM,0.343,,,,
20,02/14/23 01:10:00 PM,0.343,,,,
21,02/14/23 01:20:00 PM,0.563,,,,
22,02/14/23 01:30:00 PM,0.674,,,,
23,02/14/23 01:40:00 PM,0.674,,,,
24,02/14/23 01:50:00 PM,0.784,,,,
25,02/14/23 02:00:00 PM,0.784,,,,
26,02/14/23 02:10:00 PM,0.893,,,,
27,02/14/23 02:20:00 PM,0.893,,,,
28,02/14/23 02:30:00 PM,10.259,,,,
29,02/14/23 02:40:00 PM,15.951,,,,
30,02/14/23 02:50:00 PM,18.331,,,,
31,02/14/23 03:00:00 PM,19.377,,,,
32,02/14/23 03:10:00 PM,19.948,,,,
33,02/14/23 03:16:06 PM,,Logged,Logged,,
34,02/14/23 03:16:19 PM,,,,Logged,Logged
