"Plot Title: M-10"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10009526, SEN S/N: 10009526, LBL: temp)","Coupler Attached (LGR S/N: 10009526)","Host Connected (LGR S/N: 10009526)","Stopped (LGR S/N: 10009526)","End Of File (LGR S/N: 10009526)"
1,02/14/23 10:00:00 AM,23.869,,,,
2,02/14/23 10:10:00 AM,24.062,,,,
3,02/14/23 10:20:00 AM,24.158,,,,
4,02/14/23 10:30:00 AM,24.448,,,,
5,02/14/23 10:40:00 AM,24.641,,,,
6,02/14/23 10:50:00 AM,23.966,,,,
7,02/14/23 11:00:00 AM,3.998,,,,
8,02/14/23 11:10:00 AM,0.121,,,,
9,02/14/23 11:20:00 AM,0.010,,,,
10,02/14/23 11:30:00 AM,0.010,,,,
11,02/14/23 11:40:00 AM,0.010,,,,
12,02/14/23 11:50:00 AM,0.010,,,,
13,02/14/23 12:00:00 PM,0.010,,,,
14,02/14/23 12:10:00 PM,0.010,,,,
15,02/14/23 12:20:00 PM,0.010,,,,
16,02/14/23 12:30:00 PM,0.010,,,,
17,02/14/23 12:40:00 PM,0.010,,,,
18,02/14/23 12:50:00 PM,0.010,,,,
19,02/14/23 01:00:00 PM,0.010,,,,
20,02/14/23 01:10:00 PM,0.121,,,,
21,02/14/23 01:20:00 PM,0.010,,,,
22,02/14/23 01:30:00 PM,0.010,,,,
23,02/14/23 01:40:00 PM,0.010,,,,
24,02/14/23 01:50:00 PM,0.010,,,,
25,02/14/23 02:00:00 PM,0.010,,,,
26,02/14/23 02:10:00 PM,0.010,,,,
27,02/14/23 02:20:00 PM,0.010,,,,
28,02/14/23 02:30:00 PM,7.381,,,,
29,02/14/23 02:40:00 PM,14.134,,,,
30,02/14/23 02:50:00 PM,17.379,,,,
31,02/14/23 03:00:00 PM,18.616,,,,
32,02/14/23 03:09:40 PM,,Logged,,,
33,02/14/23 03:09:41 PM,,,Logged,,
34,02/14/23 03:09:49 PM,,,,Logged,Logged
