Plot Title: M-12,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 9995411, SEN S/N: 9995411, LBL: temp)",Good Battery (LGR S/N: 9995411),Coupler Attached (LGR S/N: 9995411),Host Connected (LGR S/N: 9995411),Stopped (LGR S/N: 9995411),End Of File (LGR S/N: 9995411)
1,2/14/2023 10:00,23.869,Logged,,,,
2,2/14/2023 10:10,24.158,,,,,
3,2/14/2023 10:20,24.351,,,,,
4,2/14/2023 10:30,24.545,,,,,
5,2/14/2023 10:40,24.641,,,,,
6,2/14/2023 10:50,23.966,,,,,
7,2/14/2023 11:00,4.415,,,,,
8,2/14/2023 11:10,0.232,,,,,
9,2/14/2023 11:20,0.121,,,,,
10,2/14/2023 11:30,0.121,,,,,
11,2/14/2023 11:40,0.121,,,,,
12,2/14/2023 11:50,0.121,,,,,
13,2/14/2023 12:00,0.121,,,,,
14,2/14/2023 12:10,0.121,,,,,
15,2/14/2023 12:20,0.121,,,,,
16,2/14/2023 12:30,0.121,,,,,
17,2/14/2023 12:40,0.121,,,,,
18,2/14/2023 12:50,0.121,,,,,
19,2/14/2023 13:00,0.121,,,,,
20,2/14/2023 13:10,0.232,,,,,
21,2/14/2023 13:20,0.121,,,,,
22,2/14/2023 13:30,0.121,,,,,
23,2/14/2023 13:40,0.121,,,,,
24,2/14/2023 13:50,0.121,,,,,
25,2/14/2023 14:00,0.121,,,,,
26,2/14/2023 14:10,0.121,,,,,
27,2/14/2023 14:20,0.121,,,,,
28,2/14/2023 14:30,9.669,,,,,
29,2/14/2023 14:40,15.378,,,,,
30,2/14/2023 14:50,18.045,,,,,
31,2/14/2023 15:00,19.472,,,,,
32,2/14/2023 15:10,20.329,,,,,
33,2/14/2023 15:20,20.901,,,,,
34,2/14/2023 15:21,,,Logged,Logged,,
35,2/14/2023 15:21,,,,,Logged,Logged
