"Plot Title: M-04"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21098308, SEN S/N: 21098308)","Coupler Detached (LGR S/N: 21098308)","Coupler Attached (LGR S/N: 21098308)","Host Connected (LGR S/N: 21098308)","Stopped (LGR S/N: 21098308)","End Of File (LGR S/N: 21098308)"
1,02/28/23 09:21:33 AM,21.473,,,,,
2,02/28/23 09:21:38 AM,,Logged,,,,
3,02/28/23 09:26:33 AM,22.046,,,,,
4,02/28/23 09:31:33 AM,22.046,,,,,
5,02/28/23 09:36:33 AM,21.951,,,,,
6,02/28/23 09:41:33 AM,21.951,,,,,
7,02/28/23 09:46:33 AM,22.046,,,,,
8,02/28/23 09:51:33 AM,22.046,,,,,
9,02/28/23 09:56:33 AM,22.142,,,,,
10,02/28/23 10:01:33 AM,22.142,,,,,
11,02/28/23 10:06:33 AM,22.238,,,,,
12,02/28/23 10:11:33 AM,22.238,,,,,
13,02/28/23 10:16:33 AM,16.999,,,,,
14,02/28/23 10:21:33 AM,1.439,,,,,
15,02/28/23 10:26:33 AM,0.232,,,,,
16,02/28/23 10:31:33 AM,0.121,,,,,
17,02/28/23 10:36:33 AM,0.121,,,,,
18,02/28/23 10:41:33 AM,0.121,,,,,
19,02/28/23 10:46:33 AM,0.121,,,,,
20,02/28/23 10:51:33 AM,0.121,,,,,
21,02/28/23 10:56:33 AM,0.121,,,,,
22,02/28/23 11:01:33 AM,0.121,,,,,
23,02/28/23 11:06:33 AM,0.121,,,,,
24,02/28/23 11:11:33 AM,0.121,,,,,
25,02/28/23 11:16:33 AM,0.121,,,,,
26,02/28/23 11:21:33 AM,0.121,,,,,
27,02/28/23 11:26:33 AM,0.121,,,,,
28,02/28/23 11:31:33 AM,0.121,,,,,
29,02/28/23 11:36:33 AM,0.121,,,,,
30,02/28/23 11:41:33 AM,0.121,,,,,
31,02/28/23 11:46:33 AM,0.121,,,,,
32,02/28/23 11:51:33 AM,0.121,,,,,
33,02/28/23 11:56:33 AM,0.121,,,,,
34,02/28/23 12:01:33 PM,0.121,,,,,
35,02/28/23 12:06:33 PM,0.121,,,,,
36,02/28/23 12:11:33 PM,0.121,,,,,
37,02/28/23 12:16:33 PM,0.121,,,,,
38,02/28/23 12:21:33 PM,0.121,,,,,
39,02/28/23 12:26:33 PM,0.121,,,,,
40,02/28/23 12:31:33 PM,0.121,,,,,
41,02/28/23 12:36:33 PM,0.121,,,,,
42,02/28/23 12:41:33 PM,0.121,,,,,
43,02/28/23 12:46:33 PM,0.121,,,,,
44,02/28/23 12:51:33 PM,0.121,,,,,
45,02/28/23 12:56:33 PM,0.121,,,,,
46,02/28/23 01:01:33 PM,0.121,,,,,
47,02/28/23 01:06:33 PM,0.121,,,,,
48,02/28/23 01:11:33 PM,0.121,,,,,
49,02/28/23 01:16:33 PM,0.121,,,,,
50,02/28/23 01:21:33 PM,0.121,,,,,
51,02/28/23 01:26:33 PM,0.121,,,,,
52,02/28/23 01:31:33 PM,0.121,,,,,
53,02/28/23 01:36:33 PM,0.121,,,,,
54,02/28/23 01:41:33 PM,0.121,,,,,
55,02/28/23 01:46:33 PM,0.121,,,,,
56,02/28/23 01:51:33 PM,0.121,,,,,
57,02/28/23 01:56:33 PM,0.121,,,,,
58,02/28/23 02:01:33 PM,0.121,,,,,
59,02/28/23 02:06:33 PM,0.121,,,,,
60,02/28/23 02:11:33 PM,0.121,,,,,
61,02/28/23 02:16:33 PM,0.121,,,,,
62,02/28/23 02:21:33 PM,0.121,,,,,
63,02/28/23 02:26:33 PM,0.121,,,,,
64,02/28/23 02:31:33 PM,0.121,,,,,
65,02/28/23 02:36:33 PM,0.121,,,,,
66,02/28/23 02:41:33 PM,0.121,,,,,
67,02/28/23 02:46:33 PM,0.121,,,,,
68,02/28/23 02:51:33 PM,0.121,,,,,
69,02/28/23 02:56:33 PM,0.121,,,,,
70,02/28/23 03:01:33 PM,0.121,,,,,
71,02/28/23 03:06:33 PM,0.121,,,,,
72,02/28/23 03:11:33 PM,0.121,,,,,
73,02/28/23 03:16:33 PM,0.121,,,,,
74,02/28/23 03:21:33 PM,0.121,,,,,
75,02/28/23 03:26:33 PM,0.121,,,,,
76,02/28/23 03:31:33 PM,0.121,,,,,
77,02/28/23 03:36:33 PM,0.121,,,,,
78,02/28/23 03:41:33 PM,0.121,,,,,
79,02/28/23 03:46:33 PM,0.121,,,,,
80,02/28/23 03:51:33 PM,0.121,,,,,
81,02/28/23 03:56:33 PM,0.121,,,,,
82,02/28/23 04:01:33 PM,0.121,,,,,
83,02/28/23 04:06:33 PM,0.121,,,,,
84,02/28/23 04:11:33 PM,0.121,,,,,
85,02/28/23 04:16:33 PM,0.121,,,,,
86,02/28/23 04:21:33 PM,0.121,,,,,
87,02/28/23 04:26:33 PM,0.121,,,,,
88,02/28/23 04:31:33 PM,0.121,,,,,
89,02/28/23 04:36:33 PM,0.121,,,,,
90,02/28/23 04:41:33 PM,0.121,,,,,
91,02/28/23 04:46:33 PM,0.121,,,,,
92,02/28/23 04:51:33 PM,0.121,,,,,
93,02/28/23 04:56:33 PM,0.121,,,,,
94,02/28/23 05:01:33 PM,0.121,,,,,
95,02/28/23 05:06:33 PM,5.244,,,,,
96,02/28/23 05:11:33 PM,9.275,,,,,
97,02/28/23 05:15:36 PM,,,Logged,,,
98,02/28/23 05:15:40 PM,,Logged,,,,
99,02/28/23 05:15:41 PM,,,Logged,,,
100,02/28/23 05:15:46 PM,,,,Logged,,
101,02/28/23 05:15:51 PM,,,,,Logged,Logged
