"Plot Title: M-03"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20334337, SEN S/N: 20334337)","Coupler Detached (LGR S/N: 20334337)","Coupler Attached (LGR S/N: 20334337)","Host Connected (LGR S/N: 20334337)","Stopped (LGR S/N: 20334337)","End Of File (LGR S/N: 20334337)"
1,02/28/23 09:20:49 AM,21.569,,,,,
2,02/28/23 09:20:53 AM,,Logged,,,,
3,02/28/23 09:25:49 AM,22.238,,,,,
4,02/28/23 09:30:49 AM,22.238,,,,,
5,02/28/23 09:35:49 AM,22.142,,,,,
6,02/28/23 09:40:49 AM,22.142,,,,,
7,02/28/23 09:45:49 AM,22.142,,,,,
8,02/28/23 09:50:49 AM,22.142,,,,,
9,02/28/23 09:55:49 AM,22.238,,,,,
10,02/28/23 10:00:49 AM,22.238,,,,,
11,02/28/23 10:05:49 AM,22.333,,,,,
12,02/28/23 10:10:49 AM,22.429,,,,,
13,02/28/23 10:15:49 AM,22.429,,,,,
14,02/28/23 10:20:49 AM,10.553,,,,,
15,02/28/23 10:25:49 AM,1.439,,,,,
16,02/28/23 10:30:49 AM,0.453,,,,,
17,02/28/23 10:35:49 AM,0.232,,,,,
18,02/28/23 10:40:49 AM,0.232,,,,,
19,02/28/23 10:45:49 AM,0.232,,,,,
20,02/28/23 10:50:49 AM,0.232,,,,,
21,02/28/23 10:55:49 AM,0.232,,,,,
22,02/28/23 11:00:49 AM,0.232,,,,,
23,02/28/23 11:05:49 AM,0.232,,,,,
24,02/28/23 11:10:49 AM,0.232,,,,,
25,02/28/23 11:15:49 AM,0.232,,,,,
26,02/28/23 11:20:49 AM,0.232,,,,,
27,02/28/23 11:25:49 AM,0.232,,,,,
28,02/28/23 11:30:49 AM,0.232,,,,,
29,02/28/23 11:35:49 AM,0.232,,,,,
30,02/28/23 11:40:49 AM,0.232,,,,,
31,02/28/23 11:45:49 AM,0.232,,,,,
32,02/28/23 11:50:49 AM,0.232,,,,,
33,02/28/23 11:55:49 AM,0.232,,,,,
34,02/28/23 12:00:49 PM,0.232,,,,,
35,02/28/23 12:05:49 PM,0.232,,,,,
36,02/28/23 12:10:49 PM,0.232,,,,,
37,02/28/23 12:15:49 PM,0.232,,,,,
38,02/28/23 12:20:49 PM,0.232,,,,,
39,02/28/23 12:25:49 PM,0.232,,,,,
40,02/28/23 12:30:49 PM,0.232,,,,,
41,02/28/23 12:35:49 PM,0.232,,,,,
42,02/28/23 12:40:49 PM,0.232,,,,,
43,02/28/23 12:45:49 PM,0.232,,,,,
44,02/28/23 12:50:49 PM,0.232,,,,,
45,02/28/23 12:55:49 PM,0.232,,,,,
46,02/28/23 01:00:49 PM,0.232,,,,,
47,02/28/23 01:05:49 PM,0.232,,,,,
48,02/28/23 01:10:49 PM,0.232,,,,,
49,02/28/23 01:15:49 PM,0.232,,,,,
50,02/28/23 01:20:49 PM,0.232,,,,,
51,02/28/23 01:25:49 PM,0.232,,,,,
52,02/28/23 01:30:49 PM,0.232,,,,,
53,02/28/23 01:35:49 PM,0.232,,,,,
54,02/28/23 01:40:49 PM,0.232,,,,,
55,02/28/23 01:45:49 PM,0.232,,,,,
56,02/28/23 01:50:49 PM,0.232,,,,,
57,02/28/23 01:55:49 PM,0.232,,,,,
58,02/28/23 02:00:49 PM,0.232,,,,,
59,02/28/23 02:05:49 PM,0.232,,,,,
60,02/28/23 02:10:49 PM,0.232,,,,,
61,02/28/23 02:15:49 PM,0.232,,,,,
62,02/28/23 02:20:49 PM,0.232,,,,,
63,02/28/23 02:25:49 PM,0.232,,,,,
64,02/28/23 02:30:49 PM,0.232,,,,,
65,02/28/23 02:35:49 PM,0.232,,,,,
66,02/28/23 02:40:49 PM,0.232,,,,,
67,02/28/23 02:45:49 PM,0.232,,,,,
68,02/28/23 02:50:49 PM,0.232,,,,,
69,02/28/23 02:55:49 PM,0.232,,,,,
70,02/28/23 03:00:49 PM,0.232,,,,,
71,02/28/23 03:05:49 PM,0.232,,,,,
72,02/28/23 03:10:49 PM,0.232,,,,,
73,02/28/23 03:15:49 PM,0.232,,,,,
74,02/28/23 03:20:49 PM,0.232,,,,,
75,02/28/23 03:25:49 PM,0.232,,,,,
76,02/28/23 03:30:49 PM,0.232,,,,,
77,02/28/23 03:35:49 PM,0.232,,,,,
78,02/28/23 03:40:49 PM,0.232,,,,,
79,02/28/23 03:45:49 PM,0.232,,,,,
80,02/28/23 03:50:49 PM,0.232,,,,,
81,02/28/23 03:55:49 PM,0.232,,,,,
82,02/28/23 04:00:49 PM,0.232,,,,,
83,02/28/23 04:05:49 PM,0.232,,,,,
84,02/28/23 04:10:49 PM,0.232,,,,,
85,02/28/23 04:15:49 PM,0.232,,,,,
86,02/28/23 04:20:49 PM,0.232,,,,,
87,02/28/23 04:25:49 PM,0.232,,,,,
88,02/28/23 04:30:49 PM,0.232,,,,,
89,02/28/23 04:35:49 PM,0.232,,,,,
90,02/28/23 04:40:49 PM,0.232,,,,,
91,02/28/23 04:45:49 PM,0.232,,,,,
92,02/28/23 04:50:49 PM,0.232,,,,,
93,02/28/23 04:55:49 PM,0.232,,,,,
94,02/28/23 05:00:49 PM,0.232,,,,,
95,02/28/23 05:05:49 PM,2.410,,,,,
96,02/28/23 05:09:16 PM,,,Logged,,,
97,02/28/23 05:10:14 PM,,,,Logged,,
98,02/28/23 05:10:21 PM,,,,,Logged,Logged
