"Plot Title: T-02"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21639829, SEN S/N: 21639829)","Host Connected (LGR S/N: 21639829)","Coupler Attached (LGR S/N: 21639829)","Stopped (LGR S/N: 21639829)","End Of File (LGR S/N: 21639829)"
1,02/28/23 10:30:00 AM,0.232,,,,
2,02/28/23 10:35:00 AM,0.121,,,,
3,02/28/23 10:40:00 AM,0.121,,,,
4,02/28/23 10:45:00 AM,0.121,,,,
5,02/28/23 10:50:00 AM,0.121,,,,
6,02/28/23 10:55:00 AM,0.121,,,,
7,02/28/23 11:00:00 AM,0.121,,,,
8,02/28/23 11:05:00 AM,0.121,,,,
9,02/28/23 11:10:00 AM,0.121,,,,
10,02/28/23 11:15:00 AM,0.121,,,,
11,02/28/23 11:20:00 AM,0.121,,,,
12,02/28/23 11:25:00 AM,0.121,,,,
13,02/28/23 11:30:00 AM,0.121,,,,
14,02/28/23 11:35:00 AM,0.121,,,,
15,02/28/23 11:40:00 AM,0.121,,,,
16,02/28/23 11:45:00 AM,0.121,,,,
17,02/28/23 11:50:00 AM,0.121,,,,
18,02/28/23 11:55:00 AM,0.121,,,,
19,02/28/23 12:00:00 PM,0.121,,,,
20,02/28/23 12:05:00 PM,0.121,,,,
21,02/28/23 12:10:00 PM,0.121,,,,
22,02/28/23 12:15:00 PM,0.121,,,,
23,02/28/23 12:20:00 PM,0.121,,,,
24,02/28/23 12:25:00 PM,0.121,,,,
25,02/28/23 12:30:00 PM,0.121,,,,
26,02/28/23 12:35:00 PM,0.121,,,,
27,02/28/23 12:40:00 PM,0.121,,,,
28,02/28/23 12:45:00 PM,0.121,,,,
29,02/28/23 12:50:00 PM,0.121,,,,
30,02/28/23 12:55:00 PM,0.121,,,,
31,02/28/23 01:00:00 PM,0.121,,,,
32,02/28/23 01:05:00 PM,0.121,,,,
33,02/28/23 01:10:00 PM,0.121,,,,
34,02/28/23 01:15:00 PM,0.121,,,,
35,02/28/23 01:20:00 PM,0.121,,,,
36,02/28/23 01:25:00 PM,0.121,,,,
37,02/28/23 01:30:00 PM,0.121,,,,
38,02/28/23 01:35:00 PM,0.121,,,,
39,02/28/23 01:40:00 PM,0.121,,,,
40,02/28/23 01:45:00 PM,0.121,,,,
41,02/28/23 01:50:00 PM,0.121,,,,
42,02/28/23 01:55:00 PM,0.121,,,,
43,02/28/23 02:00:00 PM,0.121,,,,
44,02/28/23 02:05:00 PM,0.121,,,,
45,02/28/23 02:10:00 PM,0.121,,,,
46,02/28/23 02:15:00 PM,0.121,,,,
47,02/28/23 02:20:00 PM,0.121,,,,
48,02/28/23 02:25:00 PM,0.121,,,,
49,02/28/23 02:30:00 PM,0.121,,,,
50,02/28/23 02:35:00 PM,0.121,,,,
51,02/28/23 02:40:00 PM,0.121,,,,
52,02/28/23 02:45:00 PM,0.121,,,,
53,02/28/23 02:50:00 PM,0.121,,,,
54,02/28/23 02:55:00 PM,0.121,,,,
55,02/28/23 03:00:00 PM,0.121,,,,
56,02/28/23 03:05:00 PM,0.121,,,,
57,02/28/23 03:10:00 PM,0.121,,,,
58,02/28/23 03:15:00 PM,0.121,,,,
59,02/28/23 03:20:00 PM,0.121,,,,
60,02/28/23 03:25:00 PM,0.121,,,,
61,02/28/23 03:30:00 PM,0.121,,,,
62,02/28/23 03:35:00 PM,0.121,,,,
63,02/28/23 03:40:00 PM,0.121,,,,
64,02/28/23 03:45:00 PM,0.121,,,,
65,02/28/23 03:50:00 PM,0.121,,,,
66,02/28/23 03:55:00 PM,0.121,,,,
67,02/28/23 04:00:00 PM,0.121,,,,
68,02/28/23 04:05:00 PM,0.121,,,,
69,02/28/23 04:10:00 PM,0.121,,,,
70,02/28/23 04:15:00 PM,0.121,,,,
71,02/28/23 04:20:00 PM,0.121,,,,
72,02/28/23 04:25:00 PM,0.121,,,,
73,02/28/23 04:30:00 PM,0.121,,,,
74,02/28/23 04:35:00 PM,0.121,,,,
75,02/28/23 04:40:00 PM,0.121,,,,
76,02/28/23 04:45:00 PM,0.121,,,,
77,02/28/23 04:50:00 PM,0.121,,,,
78,02/28/23 04:55:00 PM,0.121,,,,
79,02/28/23 05:00:00 PM,0.121,,,,
80,02/28/23 05:05:00 PM,3.788,,,,
81,02/28/23 05:10:00 PM,9.965,,,,
82,02/28/23 05:15:00 PM,12.980,,,,
83,02/28/23 05:20:00 PM,15.091,,,,
84,02/28/23 05:25:00 PM,16.427,,,,
85,02/28/23 05:30:00 PM,17.284,,,,
86,02/28/23 05:33:32 PM,,Logged,,,
87,02/28/23 05:33:33 PM,,,Logged,,
88,02/28/23 05:33:38 PM,,,,Logged,Logged
