"Plot Title: M-02"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10081489, SEN S/N: 10081489)","Coupler Detached (LGR S/N: 10081489)","Coupler Attached (LGR S/N: 10081489)","Host Connected (LGR S/N: 10081489)","Stopped (LGR S/N: 10081489)","End Of File (LGR S/N: 10081489)"
1,02/28/23 09:20:23 AM,21.855,,,,,
2,02/28/23 09:20:26 AM,,Logged,,,,
3,02/28/23 09:25:23 AM,22.525,,,,,
4,02/28/23 09:30:23 AM,22.238,,,,,
5,02/28/23 09:35:23 AM,22.142,,,,,
6,02/28/23 09:40:23 AM,22.046,,,,,
7,02/28/23 09:45:23 AM,22.046,,,,,
8,02/28/23 09:50:23 AM,22.046,,,,,
9,02/28/23 09:55:23 AM,22.142,,,,,
10,02/28/23 10:00:23 AM,22.142,,,,,
11,02/28/23 10:05:23 AM,22.238,,,,,
12,02/28/23 10:10:23 AM,22.238,,,,,
13,02/28/23 10:15:23 AM,22.238,,,,,
14,02/28/23 10:20:23 AM,8.978,,,,,
15,02/28/23 10:25:23 AM,1.003,,,,,
16,02/28/23 10:30:23 AM,0.232,,,,,
17,02/28/23 10:35:23 AM,0.121,,,,,
18,02/28/23 10:40:23 AM,0.121,,,,,
19,02/28/23 10:45:23 AM,0.121,,,,,
20,02/28/23 10:50:23 AM,0.121,,,,,
21,02/28/23 10:55:23 AM,0.121,,,,,
22,02/28/23 11:00:23 AM,0.121,,,,,
23,02/28/23 11:05:23 AM,0.121,,,,,
24,02/28/23 11:10:23 AM,0.121,,,,,
25,02/28/23 11:15:23 AM,0.121,,,,,
26,02/28/23 11:20:23 AM,0.121,,,,,
27,02/28/23 11:25:23 AM,0.121,,,,,
28,02/28/23 11:30:23 AM,0.121,,,,,
29,02/28/23 11:35:23 AM,0.121,,,,,
30,02/28/23 11:40:23 AM,0.121,,,,,
31,02/28/23 11:45:23 AM,0.121,,,,,
32,02/28/23 11:50:23 AM,0.121,,,,,
33,02/28/23 11:55:23 AM,0.121,,,,,
34,02/28/23 12:00:23 PM,0.121,,,,,
35,02/28/23 12:05:23 PM,0.121,,,,,
36,02/28/23 12:10:23 PM,0.121,,,,,
37,02/28/23 12:15:23 PM,0.121,,,,,
38,02/28/23 12:20:23 PM,0.121,,,,,
39,02/28/23 12:25:23 PM,0.121,,,,,
40,02/28/23 12:30:23 PM,0.121,,,,,
41,02/28/23 12:35:23 PM,0.121,,,,,
42,02/28/23 12:40:23 PM,0.121,,,,,
43,02/28/23 12:45:23 PM,0.121,,,,,
44,02/28/23 12:50:23 PM,0.121,,,,,
45,02/28/23 12:55:23 PM,0.121,,,,,
46,02/28/23 01:00:23 PM,0.121,,,,,
47,02/28/23 01:05:23 PM,0.121,,,,,
48,02/28/23 01:10:23 PM,0.121,,,,,
49,02/28/23 01:15:23 PM,0.121,,,,,
50,02/28/23 01:20:23 PM,0.121,,,,,
51,02/28/23 01:25:23 PM,0.121,,,,,
52,02/28/23 01:30:23 PM,0.121,,,,,
53,02/28/23 01:35:23 PM,0.121,,,,,
54,02/28/23 01:40:23 PM,0.121,,,,,
55,02/28/23 01:45:23 PM,0.121,,,,,
56,02/28/23 01:50:23 PM,0.121,,,,,
57,02/28/23 01:55:23 PM,0.121,,,,,
58,02/28/23 02:00:23 PM,0.121,,,,,
59,02/28/23 02:05:23 PM,0.121,,,,,
60,02/28/23 02:10:23 PM,0.121,,,,,
61,02/28/23 02:15:23 PM,0.121,,,,,
62,02/28/23 02:20:23 PM,0.121,,,,,
63,02/28/23 02:25:23 PM,0.121,,,,,
64,02/28/23 02:30:23 PM,0.121,,,,,
65,02/28/23 02:35:23 PM,0.121,,,,,
66,02/28/23 02:40:23 PM,0.121,,,,,
67,02/28/23 02:45:23 PM,0.121,,,,,
68,02/28/23 02:50:23 PM,0.121,,,,,
69,02/28/23 02:55:23 PM,0.121,,,,,
70,02/28/23 03:00:23 PM,0.121,,,,,
71,02/28/23 03:05:23 PM,0.121,,,,,
72,02/28/23 03:10:23 PM,0.121,,,,,
73,02/28/23 03:15:23 PM,0.121,,,,,
74,02/28/23 03:20:23 PM,0.121,,,,,
75,02/28/23 03:25:23 PM,0.121,,,,,
76,02/28/23 03:30:23 PM,0.121,,,,,
77,02/28/23 03:35:23 PM,0.121,,,,,
78,02/28/23 03:40:23 PM,0.121,,,,,
79,02/28/23 03:45:23 PM,0.121,,,,,
80,02/28/23 03:50:23 PM,0.121,,,,,
81,02/28/23 03:55:23 PM,0.121,,,,,
82,02/28/23 04:00:23 PM,0.121,,,,,
83,02/28/23 04:05:23 PM,0.121,,,,,
84,02/28/23 04:10:23 PM,0.121,,,,,
85,02/28/23 04:15:23 PM,0.121,,,,,
86,02/28/23 04:20:23 PM,0.121,,,,,
87,02/28/23 04:25:23 PM,0.121,,,,,
88,02/28/23 04:30:23 PM,0.121,,,,,
89,02/28/23 04:35:23 PM,0.121,,,,,
90,02/28/23 04:40:23 PM,0.121,,,,,
91,02/28/23 04:45:23 PM,0.121,,,,,
92,02/28/23 04:50:23 PM,0.121,,,,,
93,02/28/23 04:55:23 PM,0.121,,,,,
94,02/28/23 05:00:23 PM,0.121,,,,,
95,02/28/23 05:05:23 PM,1.764,,,,,
96,02/28/23 05:10:23 PM,5.450,,,,,
97,02/28/23 05:12:31 PM,,,Logged,,,
98,02/28/23 05:12:42 PM,,Logged,,,,
99,02/28/23 05:12:43 PM,,,Logged,,,
100,02/28/23 05:12:49 PM,,,,Logged,,
101,02/28/23 05:12:59 PM,,,,,Logged,Logged
