"Plot Title: T-15"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21639842, SEN S/N: 21639842)","Good Battery (LGR S/N: 21639842)","Coupler Attached (LGR S/N: 21639842)","Host Connected (LGR S/N: 21639842)","Stopped (LGR S/N: 21639842)","End Of File (LGR S/N: 21639842)"
1,02/28/23 10:30:00 AM,0.121,Logged,,,,
2,02/28/23 10:35:00 AM,0.010,,,,,
3,02/28/23 10:40:00 AM,0.010,,,,,
4,02/28/23 10:45:00 AM,0.121,,,,,
5,02/28/23 10:50:00 AM,0.010,,,,,
6,02/28/23 10:55:00 AM,0.010,,,,,
7,02/28/23 11:00:00 AM,0.010,,,,,
8,02/28/23 11:05:00 AM,0.010,,,,,
9,02/28/23 11:10:00 AM,0.010,,,,,
10,02/28/23 11:15:00 AM,0.010,,,,,
11,02/28/23 11:20:00 AM,0.010,,,,,
12,02/28/23 11:25:00 AM,0.010,,,,,
13,02/28/23 11:30:00 AM,0.010,,,,,
14,02/28/23 11:35:00 AM,0.010,,,,,
15,02/28/23 11:40:00 AM,0.121,,,,,
16,02/28/23 11:45:00 AM,0.010,,,,,
17,02/28/23 11:50:00 AM,0.010,,,,,
18,02/28/23 11:55:00 AM,0.121,,,,,
19,02/28/23 12:00:00 PM,0.010,,,,,
20,02/28/23 12:05:00 PM,0.010,,,,,
21,02/28/23 12:10:00 PM,0.010,,,,,
22,02/28/23 12:15:00 PM,0.010,,,,,
23,02/28/23 12:20:00 PM,0.010,,,,,
24,02/28/23 12:25:00 PM,0.010,,,,,
25,02/28/23 12:30:00 PM,0.010,,,,,
26,02/28/23 12:35:00 PM,0.010,,,,,
27,02/28/23 12:40:00 PM,0.010,,,,,
28,02/28/23 12:45:00 PM,0.010,,,,,
29,02/28/23 12:50:00 PM,0.010,,,,,
30,02/28/23 12:55:00 PM,0.010,,,,,
31,02/28/23 01:00:00 PM,0.010,,,,,
32,02/28/23 01:05:00 PM,0.010,,,,,
33,02/28/23 01:10:00 PM,0.010,,,,,
34,02/28/23 01:15:00 PM,0.010,,,,,
35,02/28/23 01:20:00 PM,0.010,,,,,
36,02/28/23 01:25:00 PM,0.010,,,,,
37,02/28/23 01:30:00 PM,0.010,,,,,
38,02/28/23 01:35:00 PM,0.010,,,,,
39,02/28/23 01:40:00 PM,0.010,,,,,
40,02/28/23 01:45:00 PM,0.121,,,,,
41,02/28/23 01:50:00 PM,0.010,,,,,
42,02/28/23 01:55:00 PM,0.010,,,,,
43,02/28/23 02:00:00 PM,0.010,,,,,
44,02/28/23 02:05:00 PM,0.121,,,,,
45,02/28/23 02:10:00 PM,0.010,,,,,
46,02/28/23 02:15:00 PM,0.010,,,,,
47,02/28/23 02:20:00 PM,0.010,,,,,
48,02/28/23 02:25:00 PM,0.010,,,,,
49,02/28/23 02:30:00 PM,0.010,,,,,
50,02/28/23 02:35:00 PM,0.010,,,,,
51,02/28/23 02:40:00 PM,0.010,,,,,
52,02/28/23 02:45:00 PM,0.010,,,,,
53,02/28/23 02:50:00 PM,0.010,,,,,
54,02/28/23 02:55:00 PM,0.010,,,,,
55,02/28/23 03:00:00 PM,0.010,,,,,
56,02/28/23 03:05:00 PM,0.010,,,,,
57,02/28/23 03:10:00 PM,0.010,,,,,
58,02/28/23 03:15:00 PM,0.010,,,,,
59,02/28/23 03:20:00 PM,0.010,,,,,
60,02/28/23 03:25:00 PM,0.010,,,,,
61,02/28/23 03:30:00 PM,0.010,,,,,
62,02/28/23 03:35:00 PM,0.010,,,,,
63,02/28/23 03:40:00 PM,0.010,,,,,
64,02/28/23 03:45:00 PM,0.010,,,,,
65,02/28/23 03:50:00 PM,0.010,,,,,
66,02/28/23 03:55:00 PM,0.010,,,,,
67,02/28/23 04:00:00 PM,0.010,,,,,
68,02/28/23 04:05:00 PM,0.010,,,,,
69,02/28/23 04:10:00 PM,0.010,,,,,
70,02/28/23 04:15:00 PM,0.010,,,,,
71,02/28/23 04:20:00 PM,0.010,,,,,
72,02/28/23 04:25:00 PM,0.010,,,,,
73,02/28/23 04:30:00 PM,0.010,,,,,
74,02/28/23 04:35:00 PM,0.010,,,,,
75,02/28/23 04:40:00 PM,0.010,,,,,
76,02/28/23 04:45:00 PM,0.010,,,,,
77,02/28/23 04:50:00 PM,0.010,,,,,
78,02/28/23 04:55:00 PM,0.010,,,,,
79,02/28/23 05:00:00 PM,0.010,,,,,
80,02/28/23 05:05:00 PM,3.578,,,,,
81,02/28/23 05:10:00 PM,9.077,,,,,
82,02/28/23 05:15:00 PM,12.110,,,,,
83,02/28/23 05:20:00 PM,14.038,,,,,
84,02/28/23 05:25:00 PM,15.473,,,,,
85,02/28/23 05:30:00 PM,16.332,,,,,
86,02/28/23 05:34:14 PM,,,Logged,Logged,,
87,02/28/23 05:34:19 PM,,,,,Logged,Logged
