"Plot Title: T-18"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21639845, SEN S/N: 21639845)","Coupler Attached (LGR S/N: 21639845)","Host Connected (LGR S/N: 21639845)","Stopped (LGR S/N: 21639845)","End Of File (LGR S/N: 21639845)"
1,02/28/23 10:30:00 AM,0.453,,,,
2,02/28/23 10:35:00 AM,0.232,,,,
3,02/28/23 10:40:00 AM,0.232,,,,
4,02/28/23 10:45:00 AM,0.232,,,,
5,02/28/23 10:50:00 AM,0.232,,,,
6,02/28/23 10:55:00 AM,0.232,,,,
7,02/28/23 11:00:00 AM,0.232,,,,
8,02/28/23 11:05:00 AM,0.232,,,,
9,02/28/23 11:10:00 AM,0.232,,,,
10,02/28/23 11:15:00 AM,0.232,,,,
11,02/28/23 11:20:00 AM,0.232,,,,
12,02/28/23 11:25:00 AM,0.232,,,,
13,02/28/23 11:30:00 AM,0.232,,,,
14,02/28/23 11:35:00 AM,0.232,,,,
15,02/28/23 11:40:00 AM,0.232,,,,
16,02/28/23 11:45:00 AM,0.232,,,,
17,02/28/23 11:50:00 AM,0.232,,,,
18,02/28/23 11:55:00 AM,0.232,,,,
19,02/28/23 12:00:00 PM,0.232,,,,
20,02/28/23 12:05:00 PM,0.232,,,,
21,02/28/23 12:10:00 PM,0.232,,,,
22,02/28/23 12:15:00 PM,0.232,,,,
23,02/28/23 12:20:00 PM,0.232,,,,
24,02/28/23 12:25:00 PM,0.232,,,,
25,02/28/23 12:30:00 PM,0.232,,,,
26,02/28/23 12:35:00 PM,0.232,,,,
27,02/28/23 12:40:00 PM,0.232,,,,
28,02/28/23 12:45:00 PM,0.232,,,,
29,02/28/23 12:50:00 PM,0.232,,,,
30,02/28/23 12:55:00 PM,0.232,,,,
31,02/28/23 01:00:00 PM,0.232,,,,
32,02/28/23 01:05:00 PM,0.232,,,,
33,02/28/23 01:10:00 PM,0.232,,,,
34,02/28/23 01:15:00 PM,0.232,,,,
35,02/28/23 01:20:00 PM,0.232,,,,
36,02/28/23 01:25:00 PM,0.232,,,,
37,02/28/23 01:30:00 PM,0.232,,,,
38,02/28/23 01:35:00 PM,0.232,,,,
39,02/28/23 01:40:00 PM,0.232,,,,
40,02/28/23 01:45:00 PM,0.232,,,,
41,02/28/23 01:50:00 PM,0.232,,,,
42,02/28/23 01:55:00 PM,0.232,,,,
43,02/28/23 02:00:00 PM,0.232,,,,
44,02/28/23 02:05:00 PM,0.232,,,,
45,02/28/23 02:10:00 PM,0.232,,,,
46,02/28/23 02:15:00 PM,0.232,,,,
47,02/28/23 02:20:00 PM,0.232,,,,
48,02/28/23 02:25:00 PM,0.232,,,,
49,02/28/23 02:30:00 PM,0.232,,,,
50,02/28/23 02:35:00 PM,0.232,,,,
51,02/28/23 02:40:00 PM,0.232,,,,
52,02/28/23 02:45:00 PM,0.232,,,,
53,02/28/23 02:50:00 PM,0.232,,,,
54,02/28/23 02:55:00 PM,0.232,,,,
55,02/28/23 03:00:00 PM,0.232,,,,
56,02/28/23 03:05:00 PM,0.232,,,,
57,02/28/23 03:10:00 PM,0.232,,,,
58,02/28/23 03:15:00 PM,0.232,,,,
59,02/28/23 03:20:00 PM,0.232,,,,
60,02/28/23 03:25:00 PM,0.232,,,,
61,02/28/23 03:30:00 PM,0.232,,,,
62,02/28/23 03:35:00 PM,0.232,,,,
63,02/28/23 03:40:00 PM,0.232,,,,
64,02/28/23 03:45:00 PM,0.232,,,,
65,02/28/23 03:50:00 PM,0.232,,,,
66,02/28/23 03:55:00 PM,0.232,,,,
67,02/28/23 04:00:00 PM,0.232,,,,
68,02/28/23 04:05:00 PM,0.232,,,,
69,02/28/23 04:10:00 PM,0.232,,,,
70,02/28/23 04:15:00 PM,0.232,,,,
71,02/28/23 04:20:00 PM,0.232,,,,
72,02/28/23 04:25:00 PM,0.232,,,,
73,02/28/23 04:30:00 PM,0.232,,,,
74,02/28/23 04:35:00 PM,0.232,,,,
75,02/28/23 04:40:00 PM,0.232,,,,
76,02/28/23 04:45:00 PM,0.232,,,,
77,02/28/23 04:50:00 PM,0.232,,,,
78,02/28/23 04:55:00 PM,0.232,,,,
79,02/28/23 05:00:00 PM,0.232,,,,
80,02/28/23 05:05:00 PM,2.410,,,,
81,02/28/23 05:10:00 PM,7.280,,,,
82,02/28/23 05:15:00 PM,10.357,,,,
83,02/28/23 05:20:00 PM,12.207,,,,
84,02/28/23 05:23:18 PM,,Logged,Logged,,
85,02/28/23 05:23:24 PM,,,,Logged,Logged
