MiniDOT Logger Concatenated Data File
Sensor:             7450-145843
Concatenation Date: 2023Feb10 15:49:09 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 342.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1676037480,           2023-02-10 13:58:00,           2023-02-10 08:58:00,      3.520000,     20.193000,          9.024000,                   103.872656,      1.078000
                1676038080,           2023-02-10 14:08:00,           2023-02-10 09:08:00,      3.520000,     19.657000,          8.381000,                    95.444905,      1.077000
                1676038680,           2023-02-10 14:18:00,           2023-02-10 09:18:00,      3.520000,     19.624000,          8.129000,                    92.513850,      1.077000
                1676039280,           2023-02-10 14:28:00,           2023-02-10 09:28:00,      3.520000,     19.607000,          8.008000,                    91.105720,      1.078000
                1676039880,           2023-02-10 14:38:00,           2023-02-10 09:38:00,      3.520000,     19.540000,          7.960000,                    90.437962,      1.078000
                1676040480,           2023-02-10 14:48:00,           2023-02-10 09:48:00,      3.520000,     19.557000,          7.925000,                    90.071040,      1.078000
                1676041080,           2023-02-10 14:58:00,           2023-02-10 09:58:00,      3.520000,     19.523000,          7.910000,                    89.839212,      1.078000
                1676041680,           2023-02-10 15:08:00,           2023-02-10 10:08:00,      3.520000,     19.490000,          7.912000,                    89.802379,      1.078000
                1676042280,           2023-02-10 15:18:00,           2023-02-10 10:18:00,      3.520000,     19.481000,          7.905000,                    89.706703,      1.078000
                1676042880,           2023-02-10 15:28:00,           2023-02-10 10:28:00,      3.520000,     19.464000,          7.899000,                    89.607993,      1.078000
                1676043480,           2023-02-10 15:38:00,           2023-02-10 10:38:00,      3.520000,     19.439000,          7.909000,                    89.676350,      1.079000
                1676044080,           2023-02-10 15:48:00,           2023-02-10 10:48:00,      3.520000,     19.397000,          7.920000,                    89.725236,      1.079000
                1676044680,           2023-02-10 15:58:00,           2023-02-10 10:58:00,      3.520000,     19.448000,          7.903000,                    89.624537,      1.079000
                1676045280,           2023-02-10 16:08:00,           2023-02-10 11:08:00,      3.520000,     19.431000,          7.903000,                    89.593904,      1.079000
                1676045880,           2023-02-10 16:18:00,           2023-02-10 11:18:00,      3.520000,     19.347000,          7.919000,                    89.623654,      1.079000
                1676046480,           2023-02-10 16:28:00,           2023-02-10 11:28:00,      3.520000,     19.423000,          7.906000,                    89.613494,      1.080000
                1676047080,           2023-02-10 16:38:00,           2023-02-10 11:38:00,      3.520000,     19.347000,          7.920000,                    89.634971,      1.079000
                1676047680,           2023-02-10 16:48:00,           2023-02-10 11:48:00,      3.520000,     19.364000,          7.908000,                    89.529802,      1.079000
                1676048280,           2023-02-10 16:58:00,           2023-02-10 11:58:00,      3.520000,     19.305000,          7.921000,                    89.570472,      1.079000
                1676048880,           2023-02-10 17:08:00,           2023-02-10 12:08:00,      3.520000,     19.305000,          7.922000,                    89.581780,      1.080000
                1676049480,           2023-02-10 17:18:00,           2023-02-10 12:18:00,      3.520000,     19.314000,          7.907000,                    89.428377,      1.079000
                1676050080,           2023-02-10 17:28:00,           2023-02-10 12:28:00,      3.520000,     19.272000,          7.923000,                    89.533511,      1.080000
                1676050680,           2023-02-10 17:38:00,           2023-02-10 12:38:00,      3.520000,     19.305000,          7.910000,                    89.446084,      1.079000
                1676051280,           2023-02-10 17:48:00,           2023-02-10 12:48:00,      3.520000,     19.297000,          7.919000,                    89.533420,      1.080000
                1676051880,           2023-02-10 17:58:00,           2023-02-10 12:58:00,      3.520000,     19.272000,          7.921000,                    89.510910,      1.080000
                1676052480,           2023-02-10 18:08:00,           2023-02-10 13:08:00,      3.520000,     19.246000,          7.921000,                    89.463989,      1.079000
                1676053080,           2023-02-10 18:18:00,           2023-02-10 13:18:00,      3.520000,     19.297000,          7.911000,                    89.442970,      1.080000
