MiniDOT Logger Concatenated Data File
Sensor:             7450-981145
Concatenation Date: 2023Feb10 09:58:21 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 342.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1646672640,           2022-03-07 17:04:00,           2022-03-07 12:04:00,      3.350000,     22.107000,          8.299000,                    99.175470,      0.966000
                1646673240,           2022-03-07 17:14:00,           2022-03-07 12:14:00,      3.370000,     21.965000,          8.256000,                    98.391341,      0.965000
                1646673840,           2022-03-07 17:24:00,           2022-03-07 12:24:00,      3.390000,     21.940000,          8.249000,                    98.260394,      0.967000
                1646674440,           2022-03-07 17:34:00,           2022-03-07 12:34:00,      3.400000,     21.915000,          8.218000,                    97.843787,      0.966000
                1646675040,           2022-03-07 17:44:00,           2022-03-07 12:44:00,      3.410000,     21.940000,          8.188000,                    97.533774,      0.967000
                1646675640,           2022-03-07 17:54:00,           2022-03-07 12:54:00,      3.420000,     21.949000,          8.154000,                    97.145685,      0.967000
                1646676240,           2022-03-07 18:04:00,           2022-03-07 13:04:00,      3.420000,     21.940000,          8.120000,                    96.723772,      0.966000
                1646676840,           2022-03-07 18:14:00,           2022-03-07 13:14:00,      3.430000,     21.965000,          8.100000,                    96.532203,      0.967000
                1646677440,           2022-03-07 18:24:00,           2022-03-07 13:24:00,      3.430000,     21.974000,          8.080000,                    96.310611,      0.967000
                1646678040,           2022-03-07 18:34:00,           2022-03-07 13:34:00,      3.440000,     21.982000,          8.051000,                    95.979786,      0.966000
                1646678640,           2022-03-07 18:44:00,           2022-03-07 13:44:00,      3.440000,     21.999000,          8.024000,                    95.689347,      0.967000
                1646679240,           2022-03-07 18:54:00,           2022-03-07 13:54:00,      3.440000,     22.032000,          7.998000,                    95.440127,      0.967000
                1646679840,           2022-03-07 19:04:00,           2022-03-07 14:04:00,      3.440000,     22.032000,          7.963000,                    95.022472,      0.967000
                1646680440,           2022-03-07 19:14:00,           2022-03-07 14:14:00,      3.450000,     22.015000,          7.943000,                    94.752685,      0.967000
                1646681040,           2022-03-07 19:24:00,           2022-03-07 14:24:00,      3.450000,     22.032000,          7.917000,                    94.473554,      0.967000
                1646681640,           2022-03-07 19:34:00,           2022-03-07 14:34:00,      3.450000,     22.082000,          7.872000,                    94.027315,      0.967000
                1646682240,           2022-03-07 19:44:00,           2022-03-07 14:44:00,      3.450000,     22.066000,          7.853000,                    93.771399,      0.967000
                1646682840,           2022-03-07 19:54:00,           2022-03-07 14:54:00,      3.450000,     22.099000,          7.812000,                    93.341267,      0.966000
                1646683440,           2022-03-07 20:04:00,           2022-03-07 15:04:00,      3.460000,     22.099000,          7.793000,                    93.114246,      0.967000
                1646684040,           2022-03-07 20:14:00,           2022-03-07 15:14:00,      3.460000,     22.099000,          7.781000,                    92.970865,      0.967000
                1646684640,           2022-03-07 20:24:00,           2022-03-07 15:24:00,      3.460000,     22.124000,          7.735000,                    92.465830,      0.967000
                1646685240,           2022-03-07 20:34:00,           2022-03-07 15:34:00,      3.460000,     22.133000,          7.699000,                    92.051459,      0.967000
                1646685840,           2022-03-07 20:44:00,           2022-03-07 15:44:00,      3.460000,     22.158000,          7.679000,                    91.856611,      0.967000
                1646686440,           2022-03-07 20:54:00,           2022-03-07 15:54:00,      3.460000,     22.174000,          7.649000,                    91.525978,      0.967000
                1646687040,           2022-03-07 21:04:00,           2022-03-07 16:04:00,      3.470000,     22.191000,          7.619000,                    91.196884,      0.967000
                1646687640,           2022-03-07 21:14:00,           2022-03-07 16:14:00,      3.470000,     22.199000,          7.593000,                    90.899686,      0.967000
