MiniDOT Logger Concatenated Data File
Sensor:             7392-649975
Concatenation Date: 2023Feb10 15:25:31 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 342.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1676038080,           2023-02-10 14:08:00,           2023-02-10 09:08:00,      3.130000,     19.890000,          8.924000,                   102.103487,      1.040000
                1676038680,           2023-02-10 14:18:00,           2023-02-10 09:18:00,      3.130000,     19.664000,          8.562000,                    97.519856,      1.041000
                1676039280,           2023-02-10 14:28:00,           2023-02-10 09:28:00,      3.130000,     19.614000,          8.426000,                    95.874696,      1.043000
                1676039880,           2023-02-10 14:38:00,           2023-02-10 09:38:00,      3.130000,     19.597000,          8.329000,                    94.738681,      1.042000
                1676040480,           2023-02-10 14:48:00,           2023-02-10 09:48:00,      3.130000,     19.589000,          8.280000,                    94.166215,      1.041000
                1676041080,           2023-02-10 14:58:00,           2023-02-10 09:58:00,      3.130000,     19.547000,          8.274000,                    94.018701,      1.042000
                1676041680,           2023-02-10 15:08:00,           2023-02-10 10:08:00,      3.130000,     19.522000,          8.258000,                    93.789800,      1.041000
                1676042280,           2023-02-10 15:18:00,           2023-02-10 10:18:00,      3.130000,     19.522000,          8.249000,                    93.687583,      1.041000
                1676042880,           2023-02-10 15:28:00,           2023-02-10 10:28:00,      3.130000,     19.488000,          8.250000,                    93.634966,      1.041000
                1676043480,           2023-02-10 15:38:00,           2023-02-10 10:38:00,      3.130000,     19.480000,          8.255000,                    93.676654,      1.041000
                1676044080,           2023-02-10 15:48:00,           2023-02-10 10:48:00,      3.130000,     19.454000,          8.255000,                    93.627712,      1.041000
                1676044680,           2023-02-10 15:58:00,           2023-02-10 10:58:00,      3.130000,     19.421000,          8.259000,                    93.610937,      1.041000
                1676045280,           2023-02-10 16:08:00,           2023-02-10 11:08:00,      3.130000,     19.404000,          8.260000,                    93.590259,      1.041000
                1676045880,           2023-02-10 16:18:00,           2023-02-10 11:18:00,      3.130000,     19.404000,          8.281000,                    93.828200,      1.042000
                1676046480,           2023-02-10 16:28:00,           2023-02-10 11:28:00,      3.130000,     19.387000,          8.246000,                    93.399674,      1.040000
                1676047080,           2023-02-10 16:38:00,           2023-02-10 11:38:00,      3.130000,     19.387000,          8.276000,                    93.739474,      1.042000
                1676047680,           2023-02-10 16:48:00,           2023-02-10 11:48:00,      3.130000,     19.354000,          8.282000,                    93.745137,      1.042000
                1676048280,           2023-02-10 16:58:00,           2023-02-10 11:58:00,      3.130000,     19.312000,          8.291000,                    93.767648,      1.043000
                1676048880,           2023-02-10 17:08:00,           2023-02-10 12:08:00,      3.130000,     19.346000,          8.255000,                    93.424468,      1.041000
                1676049480,           2023-02-10 17:18:00,           2023-02-10 12:18:00,      3.130000,     19.320000,          8.264000,                    93.477356,      1.041000
                1676050080,           2023-02-10 17:28:00,           2023-02-10 12:28:00,      3.130000,     19.337000,          8.268000,                    93.554634,      1.041000
                1676050680,           2023-02-10 17:38:00,           2023-02-10 12:38:00,      3.130000,     19.278000,          8.264000,                    93.398264,      1.040000
                1676051280,           2023-02-10 17:48:00,           2023-02-10 12:48:00,      3.130000,     19.304000,          8.263000,                    93.435916,      1.041000
                1676051880,           2023-02-10 17:58:00,           2023-02-10 12:58:00,      3.130000,     19.304000,          8.268000,                    93.492455,      1.041000
                1676052480,           2023-02-10 18:08:00,           2023-02-10 13:08:00,      3.130000,     19.245000,          8.292000,                    93.652372,      1.041000
                1676053080,           2023-02-10 18:18:00,           2023-02-10 13:18:00,      3.130000,     19.262000,          8.274000,                    93.481120,      1.041000
                1676053680,           2023-02-10 18:28:00,           2023-02-10 13:28:00,      3.130000,     19.270000,          8.283000,                    93.597901,      1.041000
                1676054280,           2023-02-10 18:38:00,           2023-02-10 13:38:00,      3.130000,     19.287000,          8.270000,                    93.483035,      1.041000
                1676054880,           2023-02-10 18:48:00,           2023-02-10 13:48:00,      3.130000,     19.253000,          8.275000,                    93.475450,      1.040000
                1676055480,           2023-02-10 18:58:00,           2023-02-10 13:58:00,      3.130000,     19.262000,          8.263000,                    93.356840,      1.040000
                1676056080,           2023-02-10 19:08:00,           2023-02-10 14:08:00,      3.130000,     19.253000,          8.295000,                    93.701373,      1.042000
                1676056680,           2023-02-10 19:18:00,           2023-02-10 14:18:00,      3.130000,     19.253000,          8.270000,                    93.418970,      1.040000
                1676057280,           2023-02-10 19:28:00,           2023-02-10 14:28:00,      3.130000,     19.262000,          8.264000,                    93.368138,      1.040000
                1676057880,           2023-02-10 19:38:00,           2023-02-10 14:38:00,      3.130000,     19.228000,          8.288000,                    93.575097,      1.042000
                1676058480,           2023-02-10 19:48:00,           2023-02-10 14:48:00,      3.130000,     19.236000,          8.282000,                    93.522448,      1.041000
                1676059080,           2023-02-10 19:58:00,           2023-02-10 14:58:00,      3.120000,     19.220000,          8.270000,                    93.356798,      1.040000
                1676059680,           2023-02-10 20:08:00,           2023-02-10 15:08:00,      3.130000,     19.195000,          8.294000,                    93.580494,      1.042000
                1676060280,           2023-02-10 20:18:00,           2023-02-10 15:18:00,      3.120000,     18.943000,          8.289000,                    93.048560,      1.039000
                1676060880,           2023-02-10 20:28:00,           2023-02-10 15:28:00,      3.130000,     18.464000,          8.393000,                    93.302236,      1.041000
