MiniDOT Logger Concatenated Data File
Sensor:             7450-919756
Concatenation Date: 2023Feb10 09:51:50 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 342.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1658502240,           2022-07-22 15:04:00,           2022-07-22 11:04:00,      3.380000,     23.750000,          8.254000,                   101.776164,      0.937000
                1658502840,           2022-07-22 15:14:00,           2022-07-22 11:14:00,      3.410000,     23.901000,          8.233000,                   101.806064,      0.937000
                1658503440,           2022-07-22 15:24:00,           2022-07-22 11:24:00,      3.420000,     24.001000,          8.216000,                   101.786847,      0.937000
                1658504040,           2022-07-22 15:34:00,           2022-07-22 11:34:00,      3.430000,     23.968000,          8.230000,                   101.897144,      0.937000
                1658504640,           2022-07-22 15:44:00,           2022-07-22 11:44:00,      3.440000,     23.834000,          8.249000,                   101.875479,      0.938000
                1658505240,           2022-07-22 15:54:00,           2022-07-22 11:54:00,      3.450000,     23.767000,          8.251000,                   101.771752,      0.937000
                1658505840,           2022-07-22 16:04:00,           2022-07-22 12:04:00,      3.460000,     23.700000,          8.260000,                   101.754233,      0.937000
                1658506440,           2022-07-22 16:14:00,           2022-07-22 12:14:00,      3.460000,     23.674000,          8.259000,                   101.692054,      0.937000
                1658507040,           2022-07-22 16:24:00,           2022-07-22 12:24:00,      3.460000,     24.220000,          8.294000,                   103.175736,      0.937000
                1658507640,           2022-07-22 16:34:00,           2022-07-22 12:34:00,      3.470000,     26.604000,          7.920000,                   102.942300,      0.937000
                1658508240,           2022-07-22 16:44:00,           2022-07-22 12:44:00,      3.470000,     27.784000,          7.744000,                   102.812036,      0.936000
                1658508840,           2022-07-22 16:54:00,           2022-07-22 12:54:00,      3.470000,     27.725000,          7.712000,                   102.279460,      0.937000
                1658509440,           2022-07-22 17:04:00,           2022-07-22 13:04:00,      3.480000,     27.580000,          7.708000,                   101.961925,      0.937000
                1658510040,           2022-07-22 17:14:00,           2022-07-22 13:14:00,      3.480000,     27.572000,          7.704000,                   101.894434,      0.937000
                1658510640,           2022-07-22 17:24:00,           2022-07-22 13:24:00,      3.480000,     27.640000,          7.687000,                   101.793256,      0.937000
                1658511240,           2022-07-22 17:34:00,           2022-07-22 13:34:00,      3.490000,     27.674000,          7.690000,                   101.894856,      0.937000
                1658511840,           2022-07-22 17:44:00,           2022-07-22 13:44:00,      3.490000,     27.767000,          7.669000,                   101.785438,      0.937000
                1658512440,           2022-07-22 17:54:00,           2022-07-22 13:54:00,      3.490000,     27.819000,          7.663000,                   101.800170,      0.936000
                1658513040,           2022-07-22 18:04:00,           2022-07-22 14:04:00,      3.490000,     27.955000,          7.652000,                   101.900610,      0.937000
                1658513640,           2022-07-22 18:14:00,           2022-07-22 14:14:00,      3.490000,     28.057000,          7.637000,                   101.885540,      0.937000
                1658514240,           2022-07-22 18:24:00,           2022-07-22 14:24:00,      3.490000,     29.436000,          7.490000,                   102.383141,      0.936000
                1658514840,           2022-07-22 18:34:00,           2022-07-22 14:34:00,      3.490000,     31.436000,          7.216000,                   102.107554,      0.933000
                1658515440,           2022-07-22 18:44:00,           2022-07-22 14:44:00,      3.490000,     33.490000,          6.962000,                   101.997856,      0.930000
                1658516040,           2022-07-22 18:54:00,           2022-07-22 14:54:00,      3.490000,     35.092000,          6.724000,                   101.172106,      0.926000
                1658516640,           2022-07-22 19:04:00,           2022-07-22 15:04:00,      3.500000,     32.319000,          7.077000,                   101.657083,      0.925000
                1658517240,           2022-07-22 19:14:00,           2022-07-22 15:14:00,      3.510000,     26.757000,          7.884000,                   102.758420,      0.939000
                1658517840,           2022-07-22 19:24:00,           2022-07-22 15:24:00,      3.510000,     25.987000,          8.116000,                   104.312948,      0.942000
                1658518440,           2022-07-22 19:34:00,           2022-07-22 15:34:00,      3.510000,     25.784000,          8.188000,                   104.848470,      0.942000
                1658519040,           2022-07-22 19:44:00,           2022-07-22 15:44:00,      3.520000,     25.700000,          8.262000,                   105.633375,      0.943000
                1658519640,           2022-07-22 19:54:00,           2022-07-22 15:54:00,      3.520000,     25.683000,          8.361000,                   106.865826,      0.944000
                1658520240,           2022-07-22 20:04:00,           2022-07-22 16:04:00,      3.520000,     25.700000,          8.456000,                   108.113752,      0.944000
                1658520840,           2022-07-22 20:14:00,           2022-07-22 16:14:00,      3.520000,     25.717000,          8.425000,                   107.750970,      0.943000
                1658521440,           2022-07-22 20:24:00,           2022-07-22 16:24:00,      3.520000,     25.717000,          8.507000,                   108.799703,      0.944000
                1658522040,           2022-07-22 20:34:00,           2022-07-22 16:34:00,      3.520000,     25.751000,          8.603000,                   110.096048,      0.944000
                1658522640,           2022-07-22 20:44:00,           2022-07-22 16:44:00,      3.520000,     25.784000,          8.686000,                   111.225428,      0.944000
                1658523240,           2022-07-22 20:54:00,           2022-07-22 16:54:00,      3.520000,     25.801000,          8.760000,                   112.207924,      0.944000
                1658523840,           2022-07-22 21:04:00,           2022-07-22 17:04:00,      3.520000,     25.810000,          8.207000,                   105.141797,      0.935000
                1658524440,           2022-07-22 21:14:00,           2022-07-22 17:14:00,      3.520000,     25.852000,          8.465000,                   108.530467,      0.942000
                1658525040,           2022-07-22 21:24:00,           2022-07-22 17:24:00,      3.520000,     25.852000,          8.624000,                   110.569019,      0.944000
                1658525640,           2022-07-22 21:34:00,           2022-07-22 17:34:00,      3.520000,     25.894000,          8.717000,                   111.847250,      0.944000
                1658526240,           2022-07-22 21:44:00,           2022-07-22 17:44:00,      3.520000,     25.919000,          8.785000,                   112.771274,      0.944000
                1658526840,           2022-07-22 21:54:00,           2022-07-22 17:54:00,      3.520000,     25.911000,          8.988000,                   115.360276,      0.943000
                1658527440,           2022-07-22 22:04:00,           2022-07-22 18:04:00,      3.520000,     25.936000,          8.837000,                   113.474032,      0.940000
                1658528040,           2022-07-22 22:14:00,           2022-07-22 18:14:00,      3.520000,     25.995000,          8.170000,                   105.022336,      0.936000
                1658528640,           2022-07-22 22:24:00,           2022-07-22 18:24:00,      3.520000,     26.012000,          7.991000,                   102.753239,      0.937000
                1658529240,           2022-07-22 22:34:00,           2022-07-22 18:34:00,      3.520000,     26.038000,          7.971000,                   102.544711,      0.939000
                1658529840,           2022-07-22 22:44:00,           2022-07-22 18:44:00,      3.520000,     26.038000,          7.953000,                   102.313146,      0.940000
                1658530440,           2022-07-22 22:54:00,           2022-07-22 18:54:00,      3.520000,     26.055000,          7.925000,                   101.984559,      0.941000
                1658531040,           2022-07-22 23:04:00,           2022-07-22 19:04:00,      3.520000,     26.080000,          7.916000,                   101.915201,      0.942000
                1658531640,           2022-07-22 23:14:00,           2022-07-22 19:14:00,      3.520000,     26.071000,          7.715000,                    99.311108,      0.941000
                1658532240,           2022-07-22 23:24:00,           2022-07-22 19:24:00,      3.520000,     26.097000,          7.807000,                   100.543032,      0.943000
