MiniDOT Logger Concatenated Data File
Sensor:             7450-056085
Concatenation Date: 2023Feb10 15:45:37 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 342.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1676037000,           2023-02-10 13:50:00,           2023-02-10 08:50:00,      3.500000,     20.111000,          9.004000,                   103.473590,      0.923000
                1676037600,           2023-02-10 14:00:00,           2023-02-10 09:00:00,      3.500000,     19.692000,          8.594000,                    97.939252,      0.922000
                1676038200,           2023-02-10 14:10:00,           2023-02-10 09:10:00,      3.500000,     19.600000,          8.437000,                    95.972908,      0.922000
                1676038800,           2023-02-10 14:20:00,           2023-02-10 09:20:00,      3.500000,     19.541000,          8.351000,                    94.882234,      0.922000
                1676039400,           2023-02-10 14:30:00,           2023-02-10 09:30:00,      3.500000,     19.600000,          8.285000,                    94.243871,      0.922000
                1676040000,           2023-02-10 14:40:00,           2023-02-10 09:40:00,      3.500000,     19.592000,          8.258000,                    93.921667,      0.922000
                1676040600,           2023-02-10 14:50:00,           2023-02-10 09:50:00,      3.500000,     19.524000,          8.255000,                    93.759493,      0.922000
                1676041200,           2023-02-10 15:00:00,           2023-02-10 10:00:00,      3.500000,     19.558000,          8.231000,                    93.550739,      0.922000
                1676041800,           2023-02-10 15:10:00,           2023-02-10 10:10:00,      3.500000,     19.508000,          8.241000,                    93.570408,      0.922000
                1676042400,           2023-02-10 15:20:00,           2023-02-10 10:20:00,      3.500000,     19.483000,          8.244000,                    93.557468,      0.922000
                1676043000,           2023-02-10 15:30:00,           2023-02-10 10:30:00,      3.500000,     19.474000,          8.245000,                    93.551894,      0.922000
                1676043600,           2023-02-10 15:40:00,           2023-02-10 10:40:00,      3.500000,     19.382000,          8.264000,                    93.594135,      0.922000
                1676044200,           2023-02-10 15:50:00,           2023-02-10 10:50:00,      3.500000,     19.416000,          8.256000,                    93.567523,      0.922000
                1676044800,           2023-02-10 16:00:00,           2023-02-10 11:00:00,      3.500000,     19.382000,          8.258000,                    93.526182,      0.922000
                1676045400,           2023-02-10 16:10:00,           2023-02-10 11:10:00,      3.500000,     19.399000,          8.243000,                    93.388244,      0.921000
                1676046000,           2023-02-10 16:20:00,           2023-02-10 11:20:00,      3.500000,     19.390000,          8.255000,                    93.507260,      0.922000
                1676046600,           2023-02-10 16:30:00,           2023-02-10 11:30:00,      3.500000,     19.365000,          8.258000,                    93.494182,      0.922000
                1676047200,           2023-02-10 16:40:00,           2023-02-10 11:40:00,      3.500000,     19.390000,          8.245000,                    93.393986,      0.922000
                1676047800,           2023-02-10 16:50:00,           2023-02-10 11:50:00,      3.500000,     19.323000,          8.257000,                    93.403821,      0.922000
                1676048400,           2023-02-10 17:00:00,           2023-02-10 12:00:00,      3.500000,     19.298000,          8.259000,                    93.379393,      0.921000
                1676049000,           2023-02-10 17:10:00,           2023-02-10 12:10:00,      3.500000,     19.323000,          8.249000,                    93.313324,      0.921000
                1676049600,           2023-02-10 17:20:00,           2023-02-10 12:20:00,      3.500000,     19.365000,          8.237000,                    93.256428,      0.921000
                1676050200,           2023-02-10 17:30:00,           2023-02-10 12:30:00,      3.500000,     19.265000,          8.264000,                    93.373787,      0.922000
                1676050800,           2023-02-10 17:40:00,           2023-02-10 12:40:00,      3.500000,     19.332000,          8.244000,                    93.273673,      0.922000
                1676051400,           2023-02-10 17:50:00,           2023-02-10 12:50:00,      3.500000,     19.290000,          8.259000,                    93.364338,      0.922000
                1676052000,           2023-02-10 18:00:00,           2023-02-10 13:00:00,      3.500000,     19.281000,          8.257000,                    93.324796,      0.922000
