MiniDOT Logger Concatenated Data File
Sensor:             7450-000560
Concatenation Date: 2023Feb10 09:48:23 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 342.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1656545940,           2022-06-29 23:39:00,           2022-06-29 19:39:00,      3.490000,     25.745000,          5.748000,                    73.551382,      0.965000
                1656546540,           2022-06-29 23:49:00,           2022-06-29 19:49:00,      3.490000,     26.040000,          5.568000,                    71.633394,      0.964000
                1656547140,           2022-06-29 23:59:00,           2022-06-29 19:59:00,      3.490000,     26.082000,          5.666000,                    72.950049,      0.965000
                1656547740,           2022-06-30 00:09:00,           2022-06-29 20:09:00,      3.490000,     26.091000,          5.631000,                    72.511321,      0.965000
                1656548340,           2022-06-30 00:19:00,           2022-06-29 20:19:00,      3.500000,     26.074000,          5.468000,                    70.390518,      0.964000
                1656548940,           2022-06-30 00:29:00,           2022-06-29 20:29:00,      3.500000,     26.057000,          5.475000,                    70.458780,      0.965000
                1656549540,           2022-06-30 00:39:00,           2022-06-29 20:39:00,      3.500000,     26.065000,          5.493000,                    70.700742,      0.965000
                1656550140,           2022-06-30 00:49:00,           2022-06-29 20:49:00,      3.500000,     26.015000,          5.490000,                    70.597694,      0.964000
                1656550740,           2022-06-30 00:59:00,           2022-06-29 20:59:00,      3.500000,     25.998000,          5.491000,                    70.588645,      0.964000
                1656551340,           2022-06-30 01:09:00,           2022-06-29 21:09:00,      3.500000,     25.973000,          5.478000,                    70.389387,      0.964000
                1656551940,           2022-06-30 01:19:00,           2022-06-29 21:19:00,      3.500000,     25.947000,          5.477000,                    70.343124,      0.965000
                1656552540,           2022-06-30 01:29:00,           2022-06-29 21:29:00,      3.500000,     25.914000,          5.488000,                    70.441912,      0.965000
                1656553140,           2022-06-30 01:39:00,           2022-06-29 21:39:00,      3.510000,     25.872000,          5.448000,                    69.874814,      0.965000
                1656553740,           2022-06-30 01:49:00,           2022-06-29 21:49:00,      3.510000,     25.838000,          5.456000,                    69.933915,      0.965000
                1656554340,           2022-06-30 01:59:00,           2022-06-29 21:59:00,      3.510000,     25.829000,          5.278000,                    67.641207,      0.960000
